iter	R2	RMSE
623	0.713110674	0.1912438097
624	0.7132387492	0.1912011168
625	0.7133515415	0.1911635103
626	0.7133898123	0.1911507486
627	0.7134532651	0.191129588
628	0.713538372	0.1911012023
629	0.7136129651	0.1910763198
630	0.713669832	0.1910573482
631	0.7137331445	0.191036224
632	0.7137985426	0.1910144015
633	0.713903906	0.1909792378
634	0.7139694051	0.1909573751
635	0.7140182422	0.1909410723
636	0.7141442119	0.1908990147
637	0.7142000556	0.1908803671
638	0.7142753082	0.1908552355
639	0.7143625629	0.1908260916
640	0.7144493775	0.1907970902
641	0.714508102	0.1907774702
642	0.7145631726	0.1907590691
643	0.7145967576	0.1907478462
644	0.7147008244	0.1907130668
645	0.7147640214	0.1906919431
646	0.7147804557	0.1906864495
647	0.7148588349	0.1906602471
648	0.7148935222	0.1906486498
649	0.7149529688	0.190628773
650	0.7149894751	0.1906165656
651	0.7150836345	0.1905850759
652	0.7151516118	0.190562339
653	0.7152639681	0.1905247523
654	0.715348059	0.1904966165
655	0.7153874433	0.1904834375
656	0.7155715789	0.1904218091
657	0.7155953653	0.1904138465
658	0.7156465662	0.1903967058
659	0.715726043	0.190370096
660	0.7158509446	0.1903282699
661	0.7158960542	0.1903131617
662	0.7159837589	0.190283784
663	0.7160268119	0.1902693612
664	0.7160622823	0.1902574778
665	0.7161391445	0.1902317246
666	0.7161962898	0.1902125754
667	0.716259456	0.1901914065
668	0.7163419134	0.1901637688
669	0.7163984647	0.1901448119
670	0.7164360941	0.1901321969
671	0.7165069377	0.1901084448
672	0.7165416423	0.1900968081
673	0.7166017481	0.1900766526
674	0.716680633	0.1900501965
675	0.7167375157	0.1900311171
676	0.7167727655	0.1900192928
677	0.7168518215	0.1899927713
678	0.7169085616	0.189973734
679	0.716939855	0.1899632337
680	0.7169925434	0.1899455532
681	0.7170374702	0.1899304758
682	0.71715257	0.1898918432
683	0.717211668	0.1898720042
684	0.717236798	0.1898635675
685	0.7172642889	0.1898543378
686	0.717321289	0.1898351993
687	0.7173987827	0.1898091768
688	0.7174502577	0.1897918894
689	0.7175810048	0.1897479722
690	0.7176525366	0.1897239407
691	0.7176938385	0.1897100638
692	0.7177224491	0.1897004503
693	0.7177823923	0.1896803073
694	0.7178306519	0.1896640888
695	0.7179164076	0.1896352657
696	0.7179490183	0.1896243038
697	0.7180202805	0.1896003473
698	0.7181181695	0.1895674347
699	0.7181474977	0.1895575727
700	0.7182405089	0.1895262932
